No,image_id,stim_id,text,voice,voice_id,image,sentence,audio,session,filename,No_raw,audio_raw,filename_raw,image_id_raw,image_raw,sentence_raw,session_raw,stim_id_raw,text_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,voice_id_raw,voice_raw
5,IMG_05,STIM_05,The man pushed the box.,active,IMG_05_A,exp_images/images/man_pushed_box.jpg,exp_images/sentences/Pushed-car.jpg,exp_images/audio/pushed_car.wav,voice,Active_List_2,6,exp_images/audio/fold.wav,Active_List_2,IMG_06,exp_images/images/women_fold_clothes.jpg,exp_images/sentences/Folded-clothes.jpg,voice,STIM_06,The woman folded the clothes.,0,0,0,IMG_06_A,active
6,IMG_06,STIM_06,The woman folded the clothes.,active,IMG_06_A,exp_images/images/women_fold_clothes.jpg,exp_images/sentences/Folded-clothes.jpg,exp_images/audio/fold.wav,voice,Active_List_2,5,exp_images/audio/pushed_car.wav,Active_List_2,IMG_05,exp_images/images/man_pushed_box.jpg,exp_images/sentences/Pushed-car.jpg,voice,STIM_05,The man pushed the box.,1,0,1,IMG_05_A,active

extraInfo
ID,1
participant,P01
Age,
12
Gender,Male
Dominant Eye,Right
Dominant Hand,Right
session,PUN
EDF Filename,EXP12
date,2025-03-22_10h51.02.766
expName,PunjabiActivePassive
psychopyVersion,2024.2.2
frameRate,144.28765188290666
expStart,2025-03-22 10h52.22.228013 +0530
﻿No,image_id,stim_id,text,voice,voice_id,image,sentence,audio,session,filename,No_raw,audio_raw,filename_raw,image_id_raw,image_raw,sentence_raw,session_raw,stim_id_raw,text_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,voice_id_raw,voice_raw
17,IMG_01,STIM_17,P The girl lit the lamp.,passive,IMG_01_P,exp_images/images/girl_lighted_lamp.jpg,exp_images/sentences/Lamp-passive.jpg,exp_images/audio/p_lamp.wav,voice,Passive_List_2,18,exp_images/audio/p_window.wav,Passive_List_2,IMG_02,exp_images/images/girl_opened_window.jpg,exp_images/sentences/Window-passive.jpg,voice,STIM_18,P The girl opened the window.,0,0,0,IMG_02_P,passive
